1.000000000000000000e+00	1.262040499999999947e-02	2.566589730000000125e-01	1.000000000000000000e+00	7.186862500000000542e-02	2.209666050000000104e-01	2.566589730000000125e-01
1.019438905999999978e+00	1.266096000000000062e-02	2.616461749999999808e-01	1.019438905999999978e+00	7.153266399999999581e-02	2.253289629999999932e-01	2.566570429999999736e-01
1.039255682999999930e+00	1.270309700000000000e-02	2.667302049999999980e-01	1.039255682999999930e+00	7.118426099999999868e-02	2.297800040000000099e-01	2.566550369999999748e-01
1.059457676000000070e+00	1.274687600000000073e-02	2.719129390000000202e-01	1.059457676000000070e+00	7.082298700000000391e-02	2.343216740000000076e-01	2.566529510000000180e-01
1.080052374999999953e+00	1.279236199999999983e-02	2.771962869999999857e-01	1.080052374999999953e+00	7.044839899999999489e-02	2.389559679999999908e-01	2.566507829999999935e-01
1.101047410999999920e+00	1.283961900000000003e-02	2.825821980000000067e-01	1.101047410999999920e+00	7.006004100000000345e-02	2.436849329999999925e-01	2.566485290000000141e-01
1.122450568000000093e+00	1.288871599999999971e-02	2.880726570000000097e-01	1.122450568000000093e+00	6.965744499999999839e-02	2.485106679999999901e-01	2.566461859999999984e-01
1.144269779000000042e+00	1.293972499999999914e-02	2.936696870000000126e-01	1.144269779000000042e+00	6.924013099999999643e-02	2.534353289999999870e-01	2.566437500000000038e-01
1.166513131999999953e+00	1.299271899999999980e-02	2.993753510000000118e-01	1.166513131999999953e+00	6.880760399999999444e-02	2.584611270000000127e-01	2.566412180000000043e-01
1.189188871000000036e+00	1.304777399999999983e-02	3.051917499999999839e-01	1.189188871000000036e+00	6.835935699999999560e-02	2.635903330000000100e-01	2.566385860000000019e-01
1.212305401000000060e+00	1.310497000000000051e-02	3.111210269999999944e-01	1.212305401000000060e+00	6.789486999999999606e-02	2.688252780000000008e-01	2.566358499999999987e-01
1.235871291999999899e+00	1.316438900000000030e-02	3.171653640000000052e-01	1.235871291999999899e+00	6.741361099999999829e-02	2.741683569999999737e-01	2.566330050000000251e-01
1.259895277999999896e+00	1.322611599999999957e-02	3.233269859999999829e-01	1.259895277999999896e+00	6.691503199999999929e-02	2.796220260000000235e-01	2.566300479999999995e-01
1.284386264000000111e+00	1.329024099999999951e-02	3.296081610000000106e-01	1.284386264000000111e+00	6.639857500000000134e-02	2.851888120000000137e-01	2.566269740000000077e-01
1.309353326999999956e+00	1.335685399999999960e-02	3.360111989999999826e-01	1.309353326999999956e+00	6.586366700000000074e-02	2.908713090000000223e-01	2.566237789999999963e-01
1.334805723999999971e+00	1.342605099999999961e-02	3.425384539999999922e-01	1.334805723999999971e+00	6.530972399999999956e-02	2.966721829999999782e-01	2.566204570000000240e-01
1.360752885999999995e+00	1.349793200000000068e-02	3.491923270000000246e-01	1.360752885999999995e+00	6.473614799999999336e-02	3.025941730000000218e-01	2.566170030000000102e-01
1.387204434000000042e+00	1.357259799999999995e-02	3.559752640000000135e-01	1.387204434000000042e+00	6.414232899999999793e-02	3.086400959999999749e-01	2.566134130000000124e-01
1.414170170000000004e+00	1.365015600000000009e-02	3.628897549999999805e-01	1.414170170000000004e+00	6.352764499999999370e-02	3.148128450000000078e-01	2.566096800000000067e-01
1.441660090999999921e+00	1.373071600000000045e-02	3.699383410000000039e-01	1.441660090999999921e+00	6.289146399999999415e-02	3.211153990000000236e-01	2.566057999999999950e-01
1.469684385999999954e+00	1.381439199999999999e-02	3.771236090000000263e-01	1.469684385999999954e+00	6.223313999999999929e-02	3.275508160000000224e-01	2.566017660000000089e-01
1.498253443000000074e+00	1.390130200000000080e-02	3.844481960000000198e-01	1.498253443000000074e+00	6.155201800000000001e-02	3.341222449999999844e-01	2.565975719999999960e-01
1.527377849999999926e+00	1.399156900000000057e-02	3.919147889999999856e-01	1.527377849999999926e+00	6.084743399999999885e-02	3.408329239999999816e-01	2.565932120000000149e-01
1.557068405000000100e+00	1.408532099999999961e-02	3.995261270000000087e-01	1.557068405000000100e+00	6.011871199999999776e-02	3.476861840000000092e-01	2.565886800000000134e-01
1.587336110999999939e+00	1.418268800000000059e-02	4.072849980000000092e-01	1.587336110999999939e+00	5.936517000000000183e-02	3.546854520000000122e-01	2.565839679999999956e-01
1.618192188000000087e+00	1.428380700000000079e-02	4.151942470000000163e-01	1.618192188000000087e+00	5.858611799999999953e-02	3.618342560000000208e-01	2.565790700000000202e-01
1.649648073999999909e+00	1.438882000000000008e-02	4.232567689999999772e-01	1.649648073999999909e+00	5.778085799999999744e-02	3.691362249999999845e-01	2.565739779999999803e-01
1.681715427999999957e+00	1.449787200000000019e-02	4.314755149999999762e-01	1.681715427999999957e+00	5.694868799999999731e-02	3.765950949999999908e-01	2.565686839999999913e-01
1.714406136000000025e+00	1.461111499999999917e-02	4.398534920000000126e-01	1.714406136000000025e+00	5.608890099999999657e-02	3.842147140000000127e-01	2.565631809999999735e-01
1.747732314999999925e+00	1.472870599999999940e-02	4.483937649999999997e-01	1.747732314999999925e+00	5.520078800000000063e-02	3.919990409999999925e-01	2.565574609999999867e-01
1.781706320000000066e+00	1.485080700000000059e-02	4.570994540000000161e-01	1.781706320000000066e+00	5.428364000000000106e-02	3.999521529999999769e-01	2.565515139999999805e-01
1.816340741000000092e+00	1.497758499999999986e-02	4.659737389999999979e-01	1.816340741000000092e+00	5.333674599999999738e-02	4.080782499999999757e-01	2.565453320000000148e-01
1.851648417999999907e+00	1.510921399999999928e-02	4.750198589999999887e-01	1.851648417999999907e+00	5.235940000000000039e-02	4.163816550000000172e-01	2.565389060000000110e-01
